side,entry_timestamp,exit_timestamp,entry,exit,quantity,gross_pnl,fees,tp1_hit,tp2_hit,slippage,net_pnl,reason,cost_ratio
LONG,1764685380000,1764687600000,88394.65,89412.49262945927,0.02947410447520467,26.49999999999995,1.0474412596596603,True,True,0.0,25.45255874034029,TP2,0.10421412596596602
LONG,1764773220000,1764775260000,92900.9,92056.2005114529,0.02967165451936171,-25.06363139685085,2.1901805486321053,False,False,0.5462919555881838,-27.800103901071143,STOP,0.10998100657050504
LONG,1765397940000,1765399920000,93801.25,92568.08368706162,0.02026825649943543,-24.994131137098172,1.5059537572918753,False,False,0.3752387327661139,-26.875323627156163,STOP,0.0760653684874759
LONG,1766115300000,1766157120000,87131.8,88612.88938092244,0.020196168967876047,26.42255939771213,0.7091759339896153,True,True,0.0,25.713383463722515,TP2,0.07059544234587693
LONG,1767365220000,1767366240000,89235.9,89235.9,0.030552932447847143,17.49385840068271,1.4212363524840148,True,False,0.16358510547737062,15.909036942721325,STOP,0.10909502372338338
LONG,1767734640000,1767748860000,93513.85,92328.46464754596,0.02111633894178456,-25.030998879046393,1.5647175225535321,False,False,0.3899278306944307,-26.985644232294355,STOP,0.07888898728704785
LONG,1768180200000,1768203900000,91480.7,91480.7,0.029352425654324787,17.474474337925958,1.399788726556492,True,False,0.1611108267333354,15.913574784636133,STOP,0.10756411183193308
LONG,1770403440000,1770407580000,69954.25,70756.54357291646,0.037397759946454175,26.50351782775291,1.0517536030592474,True,True,0.0,25.45176422469366,TP2,0.10463140031752592
LONG,1770994380000,1770996600000,67774.25,68928.71372814455,0.02605568023131567,26.57096500294834,0.7116758673674881,True,True,0.0,25.859289135580852,TP2,0.0704475143023439
LONG,1771429500000,1771430580000,68003.15,67250.87501259492,0.0334074597183108,-25.131596338827933,1.8023710376713007,False,False,0.4493361796008838,-27.383303556100117,STOP,0.09039666496764996
LONG,1781199420000,1781276460000,63148.2,64134.314928146145,0.030499249973292952,26.56692636473393,0.775702480138346,True,True,0.0,25.791223884595585,TP2,0.0768448360704354
LONG,1782092040000,1782132780000,64440.75,65195.11554314222,0.03997152261485799,26.635273108028116,1.0356450129989696,True,True,0.0,25.599628095029146,TP2,0.10250852614224047
