side,entry_timestamp,exit_timestamp,entry,exit,quantity,gross_pnl,fees,tp1_hit,tp2_hit,slippage,net_pnl,reason,cost_ratio
LONG,1658223060000,1658224140000,44.595,44.177205624840724,59.83804829940397,-25.0,2.119782211129536,False,False,0.5286955527823841,-27.64847776391192,STOP,0.10673911055647681
LONG,1658314800000,1658316600000,45.165,44.777684251822905,64.36835817528114,-24.93087880559022,2.310798990305904,False,False,0.5764532036361965,-27.81813099953232,STOP,0.11661028556822056
LONG,1658320560000,1658320680000,45.510000000000005,45.061093812708236,55.3820245340763,-24.86133347809139,2.0014319491497954,False,False,0.4991149206135443,-27.36188034785473,STOP,0.1013797565913712
LONG,1659102780000,1659108840000,42.239999999999995,42.239999999999995,28.00549992369343,14.87575726633305,0.6654284488482805,True,False,0.09463618534214485,14.115692632142625,STOP,0.047713294681975445
LONG,1659188040000,1659191700000,43.97,44.35547648261374,64.4091640570478,27.931745259902364,1.3098286761831688,True,True,0.0857069748479158,26.536209608871278,STOP,0.11406662139765189
LONG,1659734760000,1659737160000,40.584999999999994,40.209754470176804,66.34205221459737,-24.894558532824284,2.1390570161838527,False,False,0.533519526119322,-27.567135075127457,STOP,0.1081558520340618
LONG,1660198140000,1660203480000,44.555,44.555,50.9963883846446,14.89538441708188,1.2753797641910065,True,False,0.18177152675822722,13.438233126132646,STOP,0.09152408642259009
LONG,1662999540000,1663004520000,37.09,37.09,77.16089589437412,14.91554176677108,1.6056457804378628,True,False,0.2289518102977869,13.08094417603543,STOP,0.1151241171178141
LONG,1663050060000,1663058340000,38.59,38.17177924714085,59.518659627048024,-24.89193863839189,1.8225248968231913,False,False,0.4543866272738783,-27.16885016248896,STOP,0.09227184384366484
LONG,1664238120000,1664255880000,34.1,34.509165961496414,60.66979868559593,27.92701857710888,0.9587413068884587,True,True,0.06280992455075421,26.905467345669663,STOP,0.0833402658307366
LONG,1664285940000,1664287200000,35.165000000000006,34.832028210209586,74.75492202212372,-24.891280181349842,2.0880706982175754,False,False,0.5207731105453263,-27.500123990112744,STOP,0.10560954734974283
LONG,1666619100000,1666620360000,28.865000000000002,28.593586770816675,91.45659534011907,-24.822529871374563,2.0970221816712047,False,False,0.5230144189242325,-27.44256647197,STOP,0.10635074821833021
LONG,1666720980000,1666721580000,31.985,31.577203611503492,60.70167405468982,-24.75392345519464,1.5383820816382863,False,False,0.38335782423681186,-26.675663361069738,STOP,0.07843375003374742
LONG,1667119560000,1667123160000,32.864999999999995,32.5118197193584,69.8998093889743,-24.687234296791967,1.822993447876837,False,False,0.4545140002543696,-26.964741744923174,STOP,0.09305445915694015
LONG,1667412600000,1667417400000,32.2,30.993344584274556,20.403358010561874,-24.61982244242966,0.510818608886616,False,False,0.12647366109953256,-25.257114712415806,STOP,0.02668533168654551
LONG,1667565780000,1667569440000,32.515,33.075344837471405,43.82422753542684,27.626264612604693,0.6624732425264857,True,True,0.04348504313910158,26.92030632693911,STOP,0.05802676820710297
LONG,1668117660000,1668118440000,17.989,17.787677625371,122.31119599519579,-24.623980421465966,1.745430495553182,False,False,0.4351264248672223,-26.80453734188637,STOP,0.08935420135566316
LONG,1668472260000,1668473580000,14.218499999999999,13.975943629045934,101.2423173282135,-24.55696907811125,1.1368769296980963,False,False,0.2829913839706185,-25.976837391779966,STOP,0.0586193631776125
LONG,1668517380000,1668519300000,14.843,14.843,110.94217762384991,14.695216190779083,0.9250992990218062,True,False,0.13173717939766433,13.638379712359614,STOP,0.06723472677472066
LONG,1668532620000,1668535800000,14.496500000000001,14.372313812205126,197.49477272322653,-24.526122933912703,2.275670704465455,False,False,0.5676913699696682,-27.369485008347826,STOP,0.11673198330191668
LONG,1673239500000,1673243160000,16.3005,16.3005,148.26809890374233,14.6746195328351,1.35636764576762,True,False,0.1933475316944361,13.124904355373046,STOP,0.0988173141023244
LONG,1673547480000,1673548080000,16.560000000000002,16.406220543802448,159.25736823271276,-24.49051148228026,2.0951473074576112,False,False,0.5225623012902887,-27.108221091028163,STOP,0.10768668591678471
LONG,1673694360000,1673695080000,22.285,22.285,72.73326921040605,14.653644557731617,0.9106128353497296,True,False,0.1296688723483119,13.613362850033576,STOP,0.06636687131183458
LONG,1673852760000,1673855040000,24.755,24.19964550206695,44.03813136960706,-24.45677433667778,0.8574570890416915,False,False,0.21314143354358897,-25.52737285926306,STOP,0.04457513190607912
LONG,1673929680000,1673932500000,23.3795,23.63104332500616,96.97317908925714,27.442075392595818,1.0498568350707431,True,True,0.06874732189265452,26.32347123563242,STOP,0.09294422739870921
LONG,1673966940000,1673971920000,23.395,23.098756369856908,82.56300589756003,-24.458764582618695,1.5305739596291623,False,False,0.3814205516781597,-26.37075909392602,STOP,0.07897216216497117
LONG,1674352920000,1674355440000,25.168,24.854516576885022,77.81220915128654,-24.39283768488388,1.5520664413247334,False,False,0.38679696844693917,-26.331701094655553,STOP,0.0802849469675755
LONG,1674375960000,1674381300000,25.0415,25.0415,99.98985880377339,14.596205059288346,1.4051010285832848,True,False,0.2003116839387753,12.990792346766286,STOP,0.10292659108572862
LONG,1674753180000,1674760080000,24.444,24.444,93.30404038826543,14.615691247808494,1.2801285576699875,True,False,0.18245791706006084,13.153104773078445,STOP,0.09362775627568362
LONG,1675290600000,1675299540000,25.0255,25.77615241008066,97.48467272219595,34.75912464929931,0.9827928958135859,True,True,0.0,33.77633175348572,TP3,0.10001499894196436
LONG,1675350480000,1675361700000,24.861,25.702248462432916,87.28744276171247,34.879452831171065,0.8749971363658077,True,True,0.0,34.00445569480526,TP3,0.08865751716716815
LONG,1675434780000,1675440540000,24.383,24.803188914807063,58.45423160400493,27.632047661513532,0.6626333021731247,True,True,0.04349554048032059,26.925918818860087,STOP,0.05802866077796423
LONG,1675867800000,1675869060000,23.777,23.494655964398426,87.2309375621793,-24.629134940614733,1.644494520968381,False,False,0.4098921734950645,-26.683521635078176,STOP,0.08421286445573263
LONG,1676252220000,1676253180000,21.1,20.887015664228738,115.32503574772775,-24.56242613652704,1.9319491477397281,False,False,0.4817591656281057,-26.976134449894875,STOP,0.09906831844507342
LONG,1676390160000,1676415000000,21.845,21.59209838552017,96.85579054441362,-24.4949858004023,1.6779548040739307,False,False,0.4182639517284626,-26.591204556204694,STOP,0.08637746360350883
LONG,1676560560000,1676563440000,23.427,24.103527318168496,108.32603709992812,34.8106235993418,1.0220637531758747,True,True,0.0,33.788559846165924,TP3,0.10388494021241548
LONG,1676579820000,1676581680000,23.3175,23.093830692054848,109.59473793623191,-24.512979188627206,2.029672453949294,False,False,0.506192464527892,-27.048844107104394,STOP,0.10424988664836383
LONG,1676827020000,1676837820000,24.384500000000003,24.384500000000003,61.68209290283986,14.667214247015664,0.8452221597074105,True,False,0.12032695955114392,13.701665127757108,STOP,0.06152853441935649
LONG,1676864880000,1676870100000,26.104,26.536096514153325,56.65310975522579,27.539562646326168,0.6872581666469264,True,True,0.04510057164874779,26.80720390803049,STOP,0.06041242904064997
LONG,1678489020000,1678501920000,18.116999999999997,18.423574291491043,80.06747444987849,27.614957907317528,0.6742637092564068,True,True,0.04425387191578194,26.89644032614534,STOP,0.0590949747021731
LONG,1678633860000,1678641960000,17.8795,18.370238755777034,150.47030662653137,35.074765251264026,1.0831484919818797,True,True,0.0,33.991616759282145,TP3,0.10930153644594254
LONG,1678726020000,1678727160000,20.6645,20.35467840795493,79.71958710375925,-24.69884939366248,1.303073016528309,False,False,0.32453331166239413,-26.326455721853183,STOP,0.06669806279025829
